USER,SCORE,ORIGINAL,CHECKED,SENT_SCORE,PN
뗘,5,너무 맛있었어요,너무 맛있었어요,1,1
loverduck,5,너무 맛있어요 행복합니다,너무 맛있어요 행복합니다,2,1
백인하,0.5,준비 완료됐는데 완료됐다고 안눌러서 영문도모르고 50분 기다림 일제대로해라,준비 완료됐는데 완료됐다고 안 눌러서 영문도 모르고 50분 기다림 일제대로 해라,1,0
홍수민,5,맛나용 그래놀라가 특히 맛있어요,맛나요 그래놀라가 특히 맛있어요,2,1
백인하,4.5,맛있어요 근데 홍시의 맛에 따라 복불복일수 있을듯 무화과랑 대추야자가 좀더 많으면 좋겠네요,맛있어요 근데 홍시의 맛에 따라 복불복일 수 있을 듯 무화과랑 대추야자가 좀 더 많으면 좋겠네요,1,1
크리스탈,2,저번에 갔을 때 먹었던 게 9900원 제품이었고 이번에 갔을 때 먹은게 9400원 제품이었는데 가격차이도 그렇게 나지도 않는데 보울 그릇인 나무 그릇을 다른걸좀 작은 사이즈로 주시는 게 좀 그랬어요 그리고 저번과 다르게 이번에는 양무화과까지 너무 빈약한 수준이었어요 과일 신선도무화과도 떨어지고 기대하고 갔는데 좀 실망했습니다 그래도 이날은 직원분들이 많이들 친절하신 편이라 좋았습니다,저번에 갔을 때 먹었던 게 9900원 제품이었고 이번에 갔을 때 먹은 게 9400원 제품이었는데 가격차이도 그렇게 나지도 않는데 볼 그릇인 나무 그릇을 다른 걸 좀 작은 사이즈로 주시는 게 좀 그랬어요 그리고 저번과 다르게 이번에는 양 무화과까지 너무 빈약한 수준이었어요 과일 신선도 무화과도 떨어지고 기대하고 갔는데 좀 실망했습니다 그래도 이날은 직원분들이 많이들 친절하신 편이라 좋았습니다,1,0
loverduck,5,와  너무 감격스러운 맛입니다,와  너무 감격스러운 맛입니다,1,1
sow****,5,굿,굿,1,1
라떼홀릭,5,너무 맛있음 그래놀라도 맛있음 추가하세요,너무 맛있음 그래놀라도 맛있음 추가하세요,2,1
SUENO,5,자주 먹어요,자주 먹어요,1,1
DA,5,너무너무 맛있어요,너무너무 맛있어요,1,1
suny,4.5,인테리어도 깔끔하고 예쁘고 스무디볼도 완전 맛나고 완죤 내 스탈 또 방문할께요,인테리어도 깔끔하고 예쁘고 스무 대 볼도 정말 맛나고 완전 내 스타일 또 방문할게요,2,1
워닝이,5,맛있어요 다음에 또 올게요,맛있어요 다음에 또 올게요,1,1
자유,5,달달하고 신선하고 맛있어요,달달하고 신선하고 맛있어요,2,1
소희,4.5,맛있어요,맛있어요,1,1
jeoni,5,크기가 생각보다 좀 작긴한데 맛있어요 달달하면서 건강한맛  테이크아웃해서 옆에 서울숲에서 피크닉 하면서 먹으면 개꿀  부모님도 좋아하셨어용,크기가 생각보다 좀 작긴 한데 맛있어요 달달하면서 건강한 맛  테이크아웃해서 옆에 서울숲에서 피크닉 하면서 먹으면 개꿀  부모님도 좋아하셨어요,3,1
무구,5,그래놀라가 완전 사기다 존맛탱,그래놀라가 완전히 사기다 존맛탱,1,1
핑퐁,5,날씨가 너무 좋아서 포장해서 가까운 서울숲가서 먹었어요 카카오그래놀라 추가해서 먹었는데 역시나 맛있었어요 다음에 또 포장하러갈게요,날씨가 너무 좋아서 포장해서 가까운 서울숲 가서 먹었어요 카카오 그래놀라 추가해서 먹었는데 역시나 맛있었어요 다음에 또 포장하러 갈게요,2,1
jsj****,4.5,맛있어요 여름에 시원하게 먹기 딱,맛있어요 여름에 시원하게 먹기 딱,1,1
hjssol,5,최고예요,최고예요,1,1
야원샷해,4.5,비건 좋아요,비건 좋아요,1,1
몽몽,5,너무 맛있었습니다,너무 맛있었습니다,1,1
주르미혀니,5,헤이보울 기대했던것만큼 맛있었어요 비주얼도 갑이고요 옐로우가 퍼플보다 맛있었고 카카오그래놀라 추가하길잘했네요  하와이에서 먹었던 아사이볼이 떠올라요 오늘은 포장했는데 다음엔 매장에서 직접 먹어보고싶어요,헤이 바울 기대했던 것만큼 맛있었어요 비주얼도 갑이고요 옐로가 퍼플보다 맛있었고 카카오 그래놀라 추가하길 잘했네요  하와이에서 먹었던 아사의 볼이 떠올라요 오늘은 포장했는데 다음엔 매장에서 직접 먹어보고 싶어요,5,1
크리스탈,2.5,맛은 보통이었고 직원들의 친절도 사람 바이 사람으로 보통이었고 양은 어느정도 괜찮았고 과일 신선도는 토핑으로 올라가는 3개 중 2개는 좋았고 1개는 별로였어요 가격은 비싼편이에요,맛은 보통이었고 직원들의 친절도 사람 바이 사람으로 보통이었고 양은 어느 정도 괜찮았고 과일 신선도는 토핑으로 올라가는 3개 중 2개는 좋았고 1개는 별로였어요 가격은 비싼 편이에요,1,0
백,5,포장은 처음인데 포장도 맛있네용,포장은 처음인데 포장도 맛있네요,1,1
뿌요뿌요,4.5,하와이 아사이볼 넘 그리웠는데 똑같아요맛나요,하와이 아산이 볼 너무 그리웠는데 똑같아요 맛나요,1,1
오키도키,5,맛있고 친절하고 편하고 배부르고 다해요그냥,맛있고 친절하고 편하고 배부르고 다해요 그냥,3,1
열서,3,건강한 디저트에요,건강한 디저트에요,0,0
아,5,양 좀 적응데 존맛,양 좀 적은데 존맛,1,1
fan****,5,집앞에도 있었으면 ,집 앞에도 있었으면 ,0,1
fan****,5,맛있당  이런 곳 많이 생겼으면,맛있다  이런 곳 많이 생겼으면,1,1
달콤사탕,3,커피는 그냥그런 ,커피는 그냥 그런,0,0
사용자,5,가게 내외관이 너무 예뻐요 주문 후 바로 신선한 과일을 갈아 만들어 주셔서 더 맛있어요,가게 내 외관이 너무 예뻐요 주문 후 바로 신선한 과일을 갈아 만들어 주셔서 더 맛있어요,3,1
kimdoyou,5,평소에 헤이보울 스무디볼 먹을때마다 그래놀라가 너무 맛있어서 이번엔 따로 구매해봤어요  개인용기 지참해서 할인 받으니 뿌듯하네용   이렇게 사소한 것에서부터 환경 생각하는 헤이보울 최고에욥 ,평소에 헤이 바울 스무 대 볼 먹을 때마다 그래놀라가 너무 맛있어서 이번엔 따로 구매해봤어요  개인 용기 지참해서 할인받으니 뿌듯하네요   이렇게 사소한 것에서부터 환경 생각하는 헤이 바울 최고의 욥,4,1
gggomilk,5,넘 맛있어용 30분 지나 먹었는데두 시원했어요,너무 맛있어요 30분 지나 먹었는데도 시원했어요,1,1
반짝할,5,성수동에 갈일 있을때 마다 꼭 들리는 헤이보울 신상인 헤이레몬 아임파인은 새콤상콤 맛있어요,성수동에 갈일 있을 때마다 꼭 들리는 헤이 바울 신상인 헤이 레몬 아임 파인은 새콤새콤 맛있어요,1,1
해시루,5,매일가고싶은곳,매일 가고 싶은 곳,0,1
광코코,1,가격은 프리미엄 내용물은 재래시장 수준 음식 구성과 색감은 참 괜찮은데 한 입 떠먹으몀 바나나 외 과일들의 퀄리티가 재난 수준 가격도 싼 편은 아닌데 그라놀라 과일 모두가 엉망,가격은 프리미엄 내용물은 재래시장 수준 음식 구성과 색감은 참 괜찮은데 한 입 떠먹으몀 바나나 외 과일들의 퀄리티가 재난 수준 가격도 싼 편은 아닌데 그라 놀라 과일 모두가 엉망,0,0
미모르,4.5,주말아침 건강식단,주말 아침 건강 식단,0,1
마일,4.5,맛잇어요,맛있어요,1,1
좋아라니,5,맛있고 포장도 빠르게 나왔습니다,맛있고 포장도 빠르게 나왔습니다,1,1
모두에게해피엔딩,5,기회될 때마다 계속 먹고 싶어요 퍼플 완전 만족입니다,기회 될 때마다 계속 먹고 싶어요 퍼플 완전히 만족입니다,1,1
얼룩말,5,맛있어요,맛있어요,1,1
질겅질겅,5,생각보다 매장넓고 분위기좋아요,생각보다 매장 넓고 분위기 좋아요,1,1
lsk****,4.5,성수 헤이보울 건강해지는 느낌 새콤 달곰 함,성수 헤이 바울 건강해지는 느낌 새콤 달곰함,-1,1
민경 민준맘,5,헤이보울 넘 맛나요멀지만 그래도 일부러 찾아 가게되는 맛,헤이 바울 너무 맛나요 멀지만 그래도 일부러 찾아가게 되는 맛,0,1
유즈,5,너무 맛있어요 진짜,너무 맛있어요 진짜,1,1
민또,5,무슨 메뉴를 택해도 상큼하니 맛나여,무슨 메뉴를 택해도 상큼하니 맛나여,1,1
참새,3,좋아요,좋아요,1,0
silberks,5,맛있어요,맛있어요,1,1
shawnluv,4.5,과일이 신선하고 상큼하며 많이 달지 않아서 좋습니다 쪼그만하면서 깊게파인 볼이 너무 귀엽고 가게 인테리어도 깔끔해서 좋네요,과일이 신선하고 상큼하며 많이 달지 않아서 좋습니다 쪼그마하면서 깊게 파인 볼이 너무 귀엽고 가게 인테리어도 깔끔해서 좋네요,5,1
rla****,5,스무디와 과일 그리고 그래놀라를 같이 먹을 수 있다는 장점이 가득한 아주 신선하거 건강한 맛이였어요 다음에 또 방문 할께요,스무디와 과일 그리고 그래놀라를 같이 먹을 수 있다는 장점이 가득한 아주 신선하고 건강한 맛이었어요 다음에 또 방문할게요,2,1
영떠니,5,그래놀라,그래놀라,0,1
Ri,5,존맛,존맛,1,1
톡긔곤듀,5,맛있어요 꼭 가세요 근데 자두 철이 아니라서 그런지 자두토핑이 너무 맛없음,맛있어요 꼭 가세요 근데 자두 철이 아니라서 그런지 자두 토핑이 너무 맛없음,0,1
HEESTA,5,평소에 자주 방문해서 먹는데 테이크아웃은 첨이예요 깔끔하게 포장해주샤서 기분좋아요,평소에 자주 방문해서 먹는데 테이크아웃은 첨이예요 깔끔하게 포장해주샤서 기분 좋아요,2,1
지예선,4.5,맛있지만 가격이 조금 부담됨,맛있지만 가격이 조금 부담됨,0,1
지원,4.5,맛있어요,맛있어요,1,1
Somang,5,맛있어요,맛있어요,1,1
프리티걸,5,진짜 맛있어요 가볍게 먹기 좋아요,진짜 맛있어요 가볍게 먹기 좋아요,2,1
dailovely,5,옐로우랑 바질 먹었는데 옐로우는 누구나 먹기좋은 맛이구 바질은 확실히 취향 탈 거 같아요 근데 둘다 맛있다는 함정이,옐로랑 바질 먹었는데 옐로는 누구나 먹기 좋은 맛이고 바질은 확실히 취향 탈 거 같아요 근데 둘 다 맛있다는 함정이,0,1
yxx,3.5,복숭아가제철과일메뉴인데 너무 아쉬워요 하나도 안 달았어요 매장은 깔끔함,복숭아가 제철 과일 메뉴인데 너무 아쉬워요 하나도 안 달았어요 매장은 깔끔함,1,0
lllavender,3.5,딱 한번쯤 가볼만한 곳 요즘 그릭요거트볼 파는데가 많아서 스무디라는 점 말고는 특별한 맛은 아니었어요 그래도 그래놀라 맛있었고 공간이 예뻐서 힐링했습니다  가격이 너무 비싼 것 같아 재방문은 모르겠네요,딱 한 번쯤 가볼 만한 곳 요즘 그릭요거트볼 파는 데가 많아서 스무디라는 점 말고는 특별한 맛은 아니었어요 그래도 그래놀라 맛있었고 공간이 예뻐서 힐링했습니다  가격이 너무 비싼 것 같아 재방문은 모르겠네요,2,0
su,5,커피도 맛집이예요,커피도 맛집이에요,1,1
Hye,4.5,마치 발리에 온것처럼 너무 좋았어요 건강하게 한끼 식사로도 부족함이 없어요,마치 발리에 온 것처럼 너무 좋았어요 건강하게 한 끼 식사로도 부족함이 없어요,-1,1
우무리,5,공간도 좋고 분위기도 좋고 음악도 좋고 보울도 맛있고요 제입맛에는 옐로우에요,공간도 좋고 분위기도 좋고 음악도 좋고 바울도 맛있고요 제 입맛에는 옐로에요,4,1
Remy,5,맛있게 먹었습니다 감사합니다,맛있게 먹었습니다 감사합니다,2,1
무릎약한호랑이,3,네뭐 흠 그렇습니다,네 뭐 흠 그렇습니다,0,0
염지,3.5,한번 딱 한번 가볼만한 곳 건강한 음식,한번 딱 한 번 가볼 만한 곳 건강한 음식,0,0
킁킁,5,맛이 아주 좋았습니다아사히볼넘먹고싶엇는데 맛잇엇어용  포장도 깔끄미하규요,맛이 아주 좋았습니다 아사히 볼 넘 먹고 싶었는데 맛있었어요  포장도 깔끄미하규요,2,1
MIN,3,신선한 과일과 그래놀라 가 같이 있어요 조화롭지 못하게 그냥 그런거같아요 왜 이걸 이돈주고 이렇게 기다려서 먹으러 왔을까 예쁜 인스타용 맛집인듯합니다,신선한 과일과 그래놀라 가같이 있어요 조화롭지 못하게 그냥 그런 거 같아요 왜 이걸 이돈주고 이렇게 기다려서 먹으러 왔을까 예쁜 인 스타용 맛집인듯합니다,4,0
Yni,2,구매후 냉장 보관하고 다음날 먹었어요 양많은 떠먹는스무디입니다 아침용으로는 든든하네요 하지만 가성비는 떨어지네요 맛에비해비싸며 이쁜가격을받는다면그정도 줄서서먹던데 그정도 맛은아닌것같고 포장한저도 15분정도 밖에서 기다렸네요 안에 좌석이 차서 딱히 기다릴 장소도 실내에는 없어요 저처럼 인스타타고 소문에 먹으러 오는거같아요 한번쯤은 사먹어볼만한곳인거같네요,구매 후 냉장 보관하고 다음날 먹었어요 양 많은 떠먹는 스무디입니다 아침용으로는 든든하네요 하지만 구성비는 떨어지네요 맛에 비해 비싸며 이쁜 가격을 받는다면 그 정도 줄 서서 먹던데 그 정도 맛은 아닌 것 같고 포장한 저도 15분 정도 밖에서 기다렸네요 안에 좌석이 차서 딱히 기다릴 장소도 실내에는 없어요 저처럼 인 스타 타고 소문에 먹으러 오는 거 같아요 한 번쯤은 사 먹어볼 만한 곳인 거 같네요,-1,0
thdwlgP,2.5,맛이별로 비주얼은 좋은데,맛이 별로 비주얼은 좋은데,0,0
하루종일심심,0.5,돈아까운 맛 SNS 맛집일뿐 입니다 일찍갔는데 촬영 한다고 문전박대당하고 보온박스는 손잡이 불편하고,돈 아까운 맛 SNS 맛집일뿐입니다 일찍 갔는데 촬영한다고 문전박대당하고 보온 박스는 손잡이 불편하고,-1,0
영업하는 N잡러,5,성수역 보울 맛집,성수역 볼 맛집,1,1
김태연,5,과일이 굉장히 신선하고 맛있어요 그래놀라 따로 샀는데 너무 고소하고 좋아요 단골될것같네요 포장해왔는데 포장도 너무 깔끔하고 좋네요 달디단 디저트에 비해 건강한 맛이라 더 좋은것같아요 추천합니다 정말 강추,과일이 굉장히 신선하고 맛있어요 그래놀라 따로 샀는데 너무 고소하고 좋아요 단골 될 것 같네요 포장해왔는데 포장도 너무 깔끔하고 좋네요 다디단 디저트에 비해 건강한 맛이라 더 좋은 것 같아요 추천합니다 정말 강추,8,1
Sola gratia,5,죤맛이에요  스무디가 과일 100인데도 하나도 안 시고 달달하고 맛있어요  수제 그래놀라 냄새도 맛도 최고입니다,죤 멋이에요  스무디가 과일 100인데도 하나도 안 시고 달달하고 맛있어요  수제 그래놀라 냄새도 맛도 최고입니다,3,1
ell****,4.5,맛있고 비건이어서 좋아요 ,맛있고 비건이어서 좋아요 ,2,1
혜뎡,5,늘 먹어보고 싶었던 곳인데 드디어 먹어봤어요 재료 하나 하나 정성스레 토핑해주시고 맛있게 만들어주셔서 감사합니다 ,늘 먹어보고 싶었던 곳인데 드디어 먹어봤어요 재료 하나하나 정성스레 토핑 해주시고 맛있게 만들어주셔서 감사합니다 ,2,1
osh725,5,상큼 달콤 그 자체 너무 맛있어요,상큼 달콤 그 자체 너무 맛있어요,1,1
wwj****,5,두번째 포장으로 먹는 그린이었는데 여전히 너무 맛있어요  그래놀라도 강추,두 번째 포장으로 먹는 그린이었는데 여전히 너무 맛있어요  그래놀라도 강추,2,1
rosakwak0906,5,플레이팅이 예쁘구 맛있어요 퍼플이랑 옐로우 먹었는데 옐로우가 더 새콤달콤했어요  집 앞에 있으면 좋겠다,플레 히팅이 예쁘고 맛있어요 퍼플이랑 옐로 먹었는데 옐로가 더 새콤달콤했어요  집 앞에 있으면 좋겠다,2,1
Peartree,2.5,비쥬얼 맛집,비주얼 맛집,1,0
전하영,4.5,깔끔하고 맛있어요 다이어트 할 때 가기 딱 좋음,깔끔하고 맛있어요 다이어트할 때 가기 딱 좋음,3,1
너굴이,5,두번째 방문도 성공적,두 번째 방문도 성공적,1,1
Wewro,5,스무디봀과 그래놀라맛집,스무디봀과 그래놀라 맛집,1,1
슈,5,맛있어요 매장도 화장실도 쾌적,맛있어요 매장도 화장실도 쾌적,2,1
초코초코,5,주말에오니웨이팅이좀있어요,주말에 오니 웨이팅이 좀 있어요,0,1
쿵쿵따,4.5,오우 맛있어,오우 맛있어,1,1
조이진,5,그래놀라 추가해서 드세용,그래놀라 추가해서 드세요,0,1
슈,4.5,맛 괜찮은데 가격대가 좀 있고 대기도 있어요,맛 괜찮은데 가격대가 좀 있고 대기도 있어요,1,1
루,2.5,친구 자두는 이쁘던데 자두 색은 왜이런지  무튼 2번 갈곳은 아님 ,친구 자두는 이쁘던데 자두색은 왜 이런 지  아무튼 2번 갈 곳은 아님 ,2,0
honesty,3.5,맛은 있는데 이돈 주고 먹을 맛은 카페라고 하기엔 하드하고 스무디볼은 집에서도 맛나게 만들 수 있을 것 같다 그리고 소이라떼에 꿀 추가 해달라는 부탁을 융통성을 발휘해서 해주셨다라면 더 인상에 좋게 남았을 듯 커피 자체의 맛은 좋았으나,맛은 있는데 이돈 주고 먹을 맛은 카페라고 하기엔 하드하고 스무 대 볼은 집에서도 맛나게 만들 수 있을 것 같다 그리고 소이라테에 꿀 추가 해달라는 부탁을 융통성을 발휘해서 해주셨다라 면 더 인상에 좋게 남았을 듯 커피 자체의 맛은 좋았으나,1,0
원더덕,5,너무 맛있어요 ,너무 맛있어요 ,1,1
새얀,4.5,메뉴만 생각하고 왔는데 생각보다 매장이 넓고 예뻐요 스무디볼도 맛있어요,메뉴만 생각하고 왔는데 생각보다 매장이 넓고 예뻐요 스무 대 볼도 맛있어요,2,1
llllkkoolll,3.5,잘 먹었습니다 ,잘 먹었습니다 ,1,0
지네,3,푸딘코 파워 대단하네요 그냥 그랬음,푸든 코 파워 대단하네요 그냥 그랬음,1,0
펩시G,4.5,진짜 존맛입니다,진짜 존 맛입니다,1,1
hui****,5,피치못할망고 존맛 ,피치 못할 망고 존맛,1,1
kuj,5,그래놀라 진짜 너무 맛있어요 여러군데 시켜서 먹어봤지만 여기 맛본 이후로 헤이보울 그래놀라밖에 안먹어요 다음에 또 사갈게여,그래놀라 진짜 너무 맛있어요 여러 군데 시켜서 먹어봤지만 여기 맛본 이후로 헤이 바울 그래놀라 밖에 안 먹어요 다음에 또 사갈게요,1,1
hc,5,서울에 아사이볼 맛있는 집이 없는데 맛있는 스무디볼 맛집을 찾아서 너무 좋네요 과일도 신선하고 식재료 관리도 잘 되는 것 같습니다,서울에 아산이 볼 맛있는 집이 없는데 맛있는 스무 대 볼 맛집을 찾아서 너무 좋네요 과일도 신선하고 식재료 관리도 잘 되는 것 같습니다,5,1
수수수하,3.5,시원하게 먹을 수 있었던 스무디볼 테잌아웃했어요 만석이라 아쉬웠어요,시원하게 먹을 수 있었던 스무 대 볼 테이크아웃했어요 만석이라 아쉬웠어요,-1,0
벨루밍,2,보울 나오는데 시간이 너무 오래걸려요,볼 나오는데 시간이 너무 오래 걸려요,0,0
lka****,5,처음 먹어봤는데 너무 시원하고 과일이 신선해서 좋았어요 ,처음 먹어봤는데 너무 시원하고 과일이 신선해서 좋았어요 ,2,1
Genie,4.5,맛있는데 조금 비싼 것 같아요,맛있는데 조금 비싼 것 같아요,0,1
favorite,5,맛있는데 사람도 많아요,맛있는데 사람도 많아요,1,1
켈리,5,오늘 처음 방문해서 퍼플 보울 테이크아웃 했는데 정말 너무 너무 맛있었어요 특히 그라놀라가 엄청 고소하고 맛있어서 스무디볼의 풍미를 더한거같아요 진짜 제가 딱 찾던 그 맛이었어요 다음에도 꼭 방문할것 같습니다,오늘 처음 방문해서 퍼플 볼 테이크아웃 했는데 정말 너무너무 맛있었어요 특히 그라 놀라가 엄청 고소하고 맛있어서 스무 대 볼의 풍미를 더한 거 같아요 진짜 제가 딱 찾던 그 맛이었어요 다음에도 꼭 방문할 것 같습니다,2,1
우무리,5,맛있어요 신선하고 건강한맛너무 좋아요,맛있어요 신선하고 건강한 맛 너무 좋아요,3,1
Hye,5,너무 맛있어요 맛있는 건강식입니다,너무 맛있어요 맛있는 건강식입니다,2,1
유경,5,진짜 너무너무 맛있어요   어제 친구랑 갔다가 반해서 오늘 또 가서 포장주문해서 왔어요 ,진짜 너무너무 맛있어요   어제 친구랑 갔다가 반해서 오늘 또 가서 포장 주문해서 왔어요 ,2,1
로마,5,보울맛집,볼 맛집,1,1
러브대길 luvdaegil,5,완전 페이보릿 ,완전 페이 보릿,0,1
쭈니,5,넘후조아요,넘후좋아요,1,1
JinaKim,5,한눈에 보기엔 양이 적다고 생각했는데 딱 적당히 한끼 먹은 느낌이에요 상큼함에 그래놀라로 고소함이 더해져서 딱 발란스 맞는 맛,한눈에 보기엔 양이 적다고 생각했는데 딱 적당히 한 끼 먹은 느낌이에요 상큼함에 그래놀 라로 고소함이 더해져서 딱 밸런스 맞는 맛,0,1
min****,5,네이버 주문으로 기다리지않고 바로 받아갔어요  맛나게 잘먹었습니다 다음엔매장에서먹어보고싶어요,네이버 주문으로 기다리지 않고 바로 받아 갔어요  맛나게 잘 먹었습니다 다음엔 매장에서 먹어보고 싶어요,2,1
유즈,5,건강해지는거같아요,건강해지는 거 같아요,-1,1
융,3.5,특이하지만 두 번은 안갈것같아요 여림엔 시원할듯,특이하지만 두 번은 안 갈 것 같아요 여림엔 시원할 듯,0,0
x mysterious x,3.5,맛있는데 양이 너무 작아요 ,맛있는데 양이 너무 작아요 ,1,0
roniii,5,굿굿이에요,꿋꿋이에요,0,1
Remy,5,내츄럴한 레모네이드였습니다 잘 마셨습니다,내추럴한 레모네이드였습니다 잘 마셨습니다,1,1
남탱,5,항상 너무 맛있게 만들어주셔서 감사합니다 건강한 한끼로 정말 좋아요 ,항상 너무 맛있게 만들어주셔서 감사합니다 건강한 한 끼로 정말 좋아요 ,3,1
봉봉이,5,좋아요,좋아요,1,1
moonbow,1,절대 가지마세요네이버주문으로 주문했는데 20분이나 늦게 받음  친절하게 주문도 착각해 주시고 아주 가지가지 하시더라고요 다신 안 방문합니다,절대 가지 마세요 네이버 주문으로 주문했는데 20분이나 늦게 받음  친절하게 주문도 착각해 주시고 아주 가지가지 하시더라고요 다신 안 방문합니다,-1,0
렌치,5,맛있었어요,맛있었어요,1,1
OLINDA,5,맛있어요,맛있어요,1,1
구아바,3,사람이 매우많네요 모바일 웨이팅시스템은 맘에 듭니다 스무디볼형태는 처음 맛보는데 건강한 맛이니 한번쯤은 먹어볼만한데,사람이 매우 많네요 모바일 웨이팅 시스템은 맘에 듭니다 스무 대 볼 형태는 처음 맛보는데 건강한 맛이니 한 번쯤은 먹어볼 만한데,0,0
JINHWA,5,시람 정말 많아요 ,사람 정말 많아요 ,0,1
조소정,5,마싯서여,맛있서 여,1,1
yazzi,5,맛있게 잘 먹었어요,맛있게 잘 먹었어요,2,1
박운하,5,언제 먹어도 맛있어요 가끔 재료들이 바뀌긴하지만  자주 먹을게요 ,언제 먹어도 맛있어요 가끔 재료들이 바뀌긴 하지만  자주 먹을게요 ,2,1
wwj****,5,맛있게 먹었습니다 먹고 나면 든든하네요,맛있게 먹었습니다 먹고 나면 든든하네요,1,1
jen,5,좋아요 웨이팅이 좀 있어서 보냉포장 추가해서 1000원 추가 포장해 왔어요 카카오 그래놀라도 궁금해서 추가했는데 맛있었지만 제 취향에는 기본 그래놀라가 더 맛있었어요,좋아요 웨이팅이 좀 있어서 보냉 포장 추가해서 1000원 추가 포장해 왔어요 카카오 그래놀라도 궁금해서 추가했는데 맛있었지만 제 취향에는 기본 그래놀라가 더 맛있었어요,2,1
Sarah,5,역시 스무디보울 최고,역시 스무디 보율 최고,1,1
pomplamoose,5,일회용 종이컵이 아닌 사탕수수로 만든 종이컵이라니 친환경적인 샐러드매장을 이용하게 되어 기뻐요,일회용 종이컵이 아닌 사탕수수로 만든 종이컵이라니 친환경적인 샐러드 매장을 이용하게 되어 기뻐요,1,1
yellowj,5,어제 사서 오늘 먹었는데도 맛있었어요 되게 쪼끄매서 양이 적네 했는데 은근히 배부르더라구요 그래놀라도 완전 고소해서 존맛 다음엔 카카오그래놀라로 변경해 먹어봐야겠어요,어제 사서 오늘 먹었는데도 맛있었어요 되게 쪼끄매서 양이 적네 했는데 은근히 배부르더라고요 그래놀라도 정말 고소해서 존맛 다음엔 카카오그래놀라로 변경해 먹어봐야겠어요,1,1
maggiekim,5,저아요,저어요,0,1
Sharon kang,5,새로운 식감의 다이어트 건강식 느낌이에요 장점은 맛있다고 단점은 배가 빨리 꺼짐,새로운 식감의 다이어트 건강식 느낌이에요 장점은 맛있다고 단점은 배가 빨리 꺼짐,3,1
1199826420,5,발리보다 더 맛있어요,발리보다 더 맛있어요,1,1
tot****,5,여기가 발리다,여기가 발리다,0,1
홍블리,5,굿,굿,1,1
le soyeon,4.5,heybowl,heybowl,0,1
ell****,5,맛잇어용 발리생각나소 왔어요,맛있어요 발리 생각나 소 왔어요,1,1
제임스,5,주문하고가니 빠르게 픽업되어서 좋네요,주문하고 가니 빠르게 픽업되어서 좋네요,1,1
두땅,5,여름에 이렇게 맛있고 시원한 스무디볼을 먹을 수 있는 건 정말 행운이에요,여름에 이렇게 맛있고 시원한 스무 대 볼을 먹을 수 있는 건 정말 행운이에요,2,1
참치뱃살,5,맛있는 헤이보울,맛있는 헤이 바울,1,1
핑퐁,5,일단 네이버로 주문하니 너무 편하고 좋아요 친구들이랑 술먹으면서 먹으려고 포장해간건데 메인 메뉴 나오기 전에 스무디볼 다 먹어버린거 안비밀 너무 맛있게 잘 먹었어요 그래놀라도 따로 담아주시니 안 눅눅해지고 맛있어요 다음엔 매장에서 먹을래요 ,일단 네이버로 주문하니 너무 편하고 좋아요 친구들이랑 술 먹으면서 먹으려고 포장해간 건데 메인 메뉴 나오기 전에 스무 대 볼 다 먹어버린 거 안 비밀 너무 맛있게 잘 먹었어요 그래놀라도 따로 담아주시니 안 눅눅해지고 맛있어요 다음엔 매장에서 먹을래요 ,4,1
chlthgks,5,더운 날씨에 집 나간 입맛과 영양 모두 챙겨주는 메뉴였어요 그래놀라 추가해서 좀 더 든든하지만 다음엔 식사 대용이 목적이라면 2개 시킬 거에요 ,더운 날씨에 집 나간 입맛과 영양 모두 챙겨주는 메뉴였어요 그래놀라 추가해서 좀 더 든든하지만 다음엔 식사 대용이 목적이라면 2개 시킬 거예요,0,1
시작,5,가게는 넓은데 앉을 자리가 많지는 않아요 건강하고 맛있는 샐러드를 먹을 수 있어요,가게는 넓은데 앉을 자리가 많지는 않아요 건강하고 맛있는 샐러드를 먹을 수 있어요,1,1
참치뱃살,5,건강하고 맛있는 보울,건강하고 맛있는 볼,1,1
끼우,5,엄청 더웠는데 시원하고 상큼한 맛이였어요 다이어트 음식으로 최고입니다 살이 찔 수 없는 재료와 맛,엄청 더웠는데 시원하고 상큼한 맛이었어요 다이어트 음식으로 최고입니다 살이 찔 수 없는 재료와 맛,0,1
latte,5,맛있어용,맛있어요,1,1
su,5,항상 맛있어서 갈때마다 만족해요,항상 맛있어서 갈 때마다 만족해요,2,1
Jimin,5,미리 주문하고 갔으면 더 나았을거 같아요 20분정도 대기 맛있었어요 그레놀라 추가하길 잘했어요,미리 주문하고 갔으면 더 나았을 거 같아요 20분 정도 대기 맛있었어요 그레 놀라 추가하길 잘했어요,2,1
혀니,5,옐로우 그린 두개 포장주문했어요 그린 상큼하고 과일 그대로의 단맛이 있어서 새콤달콤 맛있어요 식사대용으로 아주 최고에용 그레놀라 씹는맛이 있어서 좋습니다 다음엔 추가 하는걸로,옐로 그린 두 개 포장 주문했어요 그린 상큼하고 과일 그대로의 단맛이 있어서 새콤달콤 맛있어요 식사 대용으로 아주 최고의 용 그레 놀라 씹는 맛이 있어서 좋습니다 다음엔 추가하는 걸로,3,1
