USER,SCORE,REVIEW,MECAB,SENT_SCORE,SCALING,NEW_RATE
백예림,5,원래 달달한걸 짭짤하게 먹는걸 싫어하는 편인데요예를들어 와플핫도그 고구마피자 바질와플은 진짜너무너무 맛있어요 플레인 치즈 바질 먹어보구 바질이 제일 맛있어서 두 개 추가주문 했습니다 바질향이 와플의 맛을 해치지 않으면서 은은하게 나고 짭짤달달 살짝 매콤해서 진짜 너무너무 맛있어요 주문 받아주시는 분도 친절하시구요 방역수칙 거리두 기도 철저히 지키고 있구요 평일목 3시쯤 방문했는데 줄 없이 바로 구매했어요 그리고 근처 제휴까페에서 와플 먹으면거 커피 마실 수 있어서 좋았어욥,"원래,달달,한,걸,짭짤,하,게,먹,는,걸,싫,어,하,는,편,인데요,예,를,들,어,와플,핫도그,고구마,피자,바질,와플,은,진짜,너무너무,맛있,어요,플레인,치즈,바질,먹,어,보,고,바질,이,제일,맛있,어서,두,개,추가,주문,했,습니다,바질,향,이,와플,의,맛,을,해치,지,않,으면서,은은,하,게,나,고,짭짤,달달,살짝,매콤,해서,진짜,너무너무,맛있,어요,주문,받,아,주,시,는,분,도,친절,하,시,고,요,방역,수칙,거리,도,기도,철저히,지키,고,있,고,요,평일,목,3,시,쯤,방문,했,는데,줄,없이,바로,구매,했,어요,그리고,근처,제휴,카페,에서,와플,먹,으면,거,커피,마실,수,있,어서,좋,았,어,욥",8,3.863636364,4.431818182
쭈,4,근처에 생겨서 너무 좋아요 역시 맛도 좋구여,"근처,에,생겨서,너무,좋,아요,역시,맛,도,좋,고요",3,2.727272727,3.363636364
sk1****,4,좋아요,"좋,아요",1,2.272727273,3.136363636
Ahaaa,5,좋아요,"좋,아요",1,2.272727273,3.636363636
susu,5,바질 크로플이 젤 맛있어요 웨이팅없이 사서 넘 좋았습니다 가격은 좀 비싸도 자주 사먹을 거 같아요,"바질,크로플,이,젤,맛있,어요,웨이팅없이,사,서,너무,좋,았,습니다,가격,은,좀,비싸,도,자주,사,먹,을,거,같,아요",2,2.5,3.75
반 초쿠,4,맛있어요다음에 또 먹으러갈게요,"맛있,어,요,다음,에,또,먹,으러,갈게요",2,2.5,3.25
쿵쿵,5,직원분들도 친절하고 크로플도 맛있네요 평일에가서 웨이팅 없이 샀어요추천합니다,"직원,분,들,도,친절,하,고,크로플,도,맛있,네요,평일,에,가,서,웨이팅없이,샀어요,추천,합니다",4,2.954545455,3.977272727
kiki106,4,아 진짜 맛있어요,"아,진짜,맛있,어요",1,2.272727273,3.136363636
Hotpink Butterfly,4.5,크로플 너무 좋아해서 다양한 곳에서 먹어봤지만 단연 최고 딱 하나 아쉬운 점은 위치 ,"크로플,너무,좋,아,해서,다양,한,곳,에서,먹,어,봤,지만,단연,최고,딱,하나,아쉬운,점,은,위치",2,2.5,3.5
Jwan,4,비쌈 맛있음 그런데 가로수길은 줄서서 먹는다던데 그정돈 아님,"비쌈,맛있,음,그런데,가로수,길,은,줄,서,서,먹,는다던데,그,정돈,아님",-1,1.818181818,2.909090909
kcjj1119,4,맛은 있는데 많이 달아서 많이 못 먹겠어요,"맛,은,있,는데,많이,달,아서,많이,못,먹,겠,어요",0,2.045454545,3.022727273
이레미뇽,5,성수로 와줘서 얼마나 감사한지,"성수,로,와줘서,얼마나,감사,한지",1,2.272727273,3.636363636
seoseo,4,가격이 비싸다고 생각할 수 있지만 크기가 커요 플레인이 제일 맛있어요 콘은 옥수수맛이 너무 쎄서 아쉽네요,"가격,이,비싸,다고,생각,할,수,있,지만,크기,가,커요,플레인,이,제일,맛있,어요,콘,은,옥수수,맛,이,너무,세,서,아쉽,네요",0,2.045454545,3.022727273
ayoung,4,맛있어요,"맛있,어요",1,2.272727273,3.136363636
정이,5,냠,남,0,2.045454545,3.522727273
니냐니,5,역시 유명한덴 이유가 있에요 가오픈기간이라 오히려 테크아웃만 해서 회전도 빠르고 좋았어요,"역시,유명,한,덴,이유,가,있,어요,가,오,픈,기간,이,라,오히려,테크,아웃,만,해서,회전,도,빠르,고,좋,았,어요",3,2.727272727,3.863636364
rlarmadhr888,4,크로플 굿,"크로플,굿",1,2.272727273,3.136363636
Jwan,3.5,비쌈 그대신 큼 맛있음 그런데 가로수길은 줄서서 먹는다던데 그정돈 아님,"비쌈,그,대신,큼,맛있,음,그런데,가로수,길,은,줄,서,서,먹,는다던데,그,정돈,아님",-1,1.818181818,2.659090909
Lime,5,평일 오픈에 갔는데 사람 엄청 많아요 맛은 최고,"평일,오픈,에,갔,는데,사람,엄청,많,아요,맛,은,최고",2,2.5,3.75
dbf,5,플레인치즈바질사서 바질만 먹어봤는데 아는 맛이지만 완전 맛있어요,"플레인,치즈,바질,사,서,바질,만,먹,어,봤,는데,아,는,맛,이,지만,정말,맛있,어요",1,2.272727273,3.636363636
mmm,5,존맛 ,존맛,1,2.272727273,3.636363636
pringles10,4.5,넘 맛있쬬  진짜  가격이 사악해서 그르쵸 ,"너무,맛있,죠,진짜,가격,이,사악,해서,그르쳐",0,2.045454545,3.272727273
리뷰어,4,성수 새들러하우스 좋아요,"성수,새들러,하우스,좋,아요",1,2.272727273,3.136363636
sop****,4,맛은 말할 것도 없이 맛있어요 이전에 3번정도 방문했었는데 그때마다줄이 길거나 짧거나주문 받아주시는 분이 퉁명스럽고 불친절하다고 느꼈어요 사복입으신 여자분이였는데 무슨 빨리빨리 처리되는 느낌이였어요 그 사항이 개선된건지 이번 방문에는 직원분들 모두 친절하셔서 좋았습니다,"맛,은,말,할,것,도,없이,맛있,어요,이전,에,3,번,정도,방문,했었,는데,그때,마다,줄,이,길,거나,짧,거나,주문,받,아,주,시,는,분,이,퉁명,스럽,고,불친절,하,다고,느꼈,어요,사복,입,으신,여자,분,이,었,는데,무슨,빨리빨리,처리,되,는,느낌,이,었,어요,그,사항,이,개선,된,건지,이번,방문,에,는,직원,분,들,모두,친절,하,셔서,좋,았,습니다",4,2.954545455,3.477272727
랄라,5,주말에 가면 줄이 길지만 너무 맛있어요 콘은 오픈 후 12시간 이내에 품절된다니 참고하세요,"주말,에,가,면,줄,이,길,지만,너무,맛있,어요,콘,은,오픈,후,12,시간,이내,에,품절,된다니,참고,하,세요",0,2.045454545,3.522727273
vivi,4,넘맛있어요 오래안기다렸어요 주말인데도 한15분정도  와플주시는분이 조금만더 친절하셨으면,"너무,맛있,어요,오래,안,기다렸,어요,주말,인데,도,한,15,분,정도,와플,주,시,는,분,이,조금,만,더,친절,하,셨,으면",1,2.272727273,3.136363636
랄랄라,5,소문으로만 듣던 전설의 새들러하우스 와플 바질이랑 치즈와플 둘다 존맛입니다 가오픈이라 테이크아웃 해서 가게 앞에서 서서 먹었는데 너무 맛있어서 깜놀했어요 성수점도 얼른 정식 오픈 해주세요 현기증 나요,"소문,으로,만,듣,던,전설,의,새들러,하우스,와플,바질,이랑,치즈,와플,둘,다,존맛,입니다,가,오픈,이,라,테이크아웃,해서,가게,앞,에서,서,서,먹,었,는데,너무,맛있,어서,깜놀,했,어요,성,수점,도,얼른,정식,오픈,해,주,세요,현기증,나,요",-1,1.818181818,3.409090909
sel,4,주말 1시 전에 갔더니 웨이팅이 없고 맛은 똑같아서 좋았어요 근데 많이 샀는데 들고 갈 비닐이 없어서 물어보니 매진되었다고 해서 당황스러웠어요 주문하기 전에 안내를 먼저 해주셨으면 좋았을 것 같아요 본점과 달리 직원들이 불친절하고 손이 느려서 아쉬웠습니다,"주말,1,시,전,에,갔,더니,웨이팅이없,고,맛,은,똑같,아서,좋,았,어요,근데,많이,샀,는데,들,고,갈,비닐,이,없,어서,물,어,보,니,매진,되,었,다고,해서,당황,스러웠,어요,주문,하,기,전,에,안내,를,먼저,해,주,셨,으면,좋,았,을,것,같,아요,본,점,과,달리,직원,들,이,불친절,하,고,손,이,느려서,아쉬웠,습니다",-2,1.590909091,2.795454545
윤정몬,4,진짜 댑악의 맛 드디어 먹어보는데 정말 맛있네요 가격은 귀엽진않지만 생각보다 사이즈도 크고 바로 먹는게 제일 맛있는 것 같아요 크로플 좋아하시면 한번 쯤 꼭 드셔보셔보시길 추천,"진짜,댑악의,맛,드디어,먹,어,보,는데,정말,맛있,네요,가격,은,귀엽,진,않,지만,생각,보다,사이즈,도,크,고,바로,먹,는,게,제일,맛있,는,것,같,아요,크로플,좋,아,하,시,면,한,번,쯤,꼭,드셔,보,셔,보,시,길,추천",6,3.409090909,3.704545455
tkw****,4,굿,굿,1,2.272727273,3.136363636
goguma,5,성수점 오픈해서 놀러왔는데 역시나 사람이 많네요 그래도 안내 잘 해주시고 바로바로 나와서 빠르게 받을 수 있었어요 항상 맛있는 와플 감사해요 번창하세요,"성,수점,오픈,해서,놀,러,왔,는데,역시,나,사람,이,많,네요,그래도,안내,잘,해,주,시,고,바로,바로,나와서,빠르,게,받,을,수,있,었,어요,항상,맛있,는,와플,감사,해요,번창,하,세요",6,3.409090909,4.204545455
glitter,4,맛있어요 직원들은 불친절,"맛있,어요,직원,들,은,불친절",0,2.045454545,3.022727273
sks****,4,Jmt,Jmt,0,2.045454545,3.022727273
sjsj,4,가까운데 생기니 좋아요,"가까운,데,생기,니,좋,아요",1,2.272727273,3.136363636
수수수하,5,새들러 크로플 맛집이긴한데크림치즈맛집이에요,"새들러,크로플,맛집,이,긴,한데,크림치즈,맛집,이,에요",2,2.5,3.75
쫀득붕어빵,4,크로플은 역시 새들러,"크로폴,은,역시,새들러",1,2.272727273,3.136363636
수디,5,진짜 맛잇어요,"진짜,맛있,어요",1,2.272727273,3.636363636
ahffffkfk,5,맛있어요 웨이팅은 있는편,"맛있,어요,웨이팅,은,있,는,편",0,2.045454545,3.522727273
태현밥팅,4,맛집이지요 이런 맛의 와플 새롭습니다,"맛집,이,지요,이런,맛,의,와플,새롭,습니다",2,2.5,3.25
다우니,4.5,예전에 가로수길점 갔는데 줄이 길어 못가고 이제서야 왔네요 식어도 맛있어요 다만 쫄깃함이 약한거 같아오 콘마요치즈크림은 생각보다 별로에요 치즈맛이 강하지 않네요  그래도 대체적으로 맛은 좋아요,"예전,에,가로수,길점,갔,는데,줄,이,길어,못,가,고,이제서야,왔,네요,식,어도,맛있,어요,다만,쫄깃,함,이,약한,거,같,아오,콘마요,치즈,크림,은,생각,보다,별로,예요,치즈,맛,이,강하,지,않,네요,그래도,대체,적,으로,맛,은,좋,아요",2,2.5,3.5
태현밥팅,4,가오픈입니다 그래도 줄서서 먹네요,"가,오픈,입니다,그래도,줄,서서,먹,네요",0,2.045454545,3.022727273
호찌,5,저번에 먹었던 콘을 제외하곤 다 맛있어요 플레인 2 바질1 치즈 1 세트 메뉴로 주문하면 저렴하더라구요 세가지 맛 다 좋아하시면 세트 추천해요,"저번,에,먹,었,던,콘,을,제외,하,곤,다,맛있,어요,플레인,2,바질,1,치즈,1,세트,메뉴,로,주문,하,면,저렴,하,더라고요,세,가지,맛,다,좋,아,하,시,면,세트,추천,해요",4,2.954545455,3.977272727
khh7258,5,완전맛있어요,"정말,맛있,어요",1,2.272727273,3.636363636
해변의 카프카,5,갤러리아 지하에서 먹어보고 남편에게 맛보여주고 싶었는데 성수에 생겨 다녀왔습니다 가오픈임에도 불구하고 줄이 있었지만 테이크 아웃만 가능하여 금방 구매했습니다 크로플 좋아하는 남편이 아주 만족했습니다,"갤러리,아,지하,에서,먹,어,보,고,남편,에게,맛,보여,주,고,싶,었,는데,성수,에,생겨,다녀왔,습니다,가,오픈,임,에,도,불구,하,고,줄,이,있,었,지만,테이크아웃,만,가능,하,여,금방,구매,했,습니다,크로플,좋,아,하,는,남편,이,아주,만족,했,습니다",3,2.727272727,3.863636364
ljh****,4,좋아요,"좋,아요",1,2.272727273,3.136363636
홍마님,5,브레이크타임에 딱 걸려서 1시간 기다려서 구입했네요 맛은 확실히 다른 크로플보단 맛있구 얼른 정식 오픈했음 좋겠어요,"브레이크,타임,에,딱,걸려서,1,시간,기다려서,구입,했,네요,맛,은,확실히,다른,크로플,보단,맛있,고,얼른,정식,오픈,했,으면,좋,겠,어요",2,2.5,3.75
쑴이,5,존맛탱입니당,"존맛,탱,입,니당",1,2.272727273,3.636363636
숲햄,5,크로플 너무 맛있어요,"크로플,너무,맛있,어요",1,2.272727273,3.636363636
sg6****,4,굿,굿,1,2.272727273,3.136363636
kb9****,4,굿,굿,1,2.272727273,3.136363636
sim****,5,새들러하우스 프렌치와플 너무 맛있어 1080다 좋아하는 맛 직원들 숙달된 전문성과 친절도 최고 2층과 옥상도 너무 이쁘게 공사중으로 정식 오픈 기대된다,"새들러,하우스,프렌치,와플,너무,맛있,어,1080,다,좋,아,하,는,맛,직원,들,숙달,된,전문,성,과,친절,도,최고,2,층,과,옥상,도,너무,이쁘,게,공사,중,으로,정식,오픈,기대,된다",6,3.409090909,4.204545455
dong9,5,본점은 줄이 너무 길어서 성수로 한번 와봤는데 20분정도 기다렸다 구매했어요 역시 대존맛 친절왕언니들 다 그대로 오셨더라구요  감사합니다,"본점,은,줄,이,너무,길어서,성수,로,한번,와,봤,는데,20,분,정도,기다렸,다,구매,했,어요,역시,대존맛,친절,왕,언니,들,다,그대로,오,셨,더라고요,감사,합니다",2,2.5,3.75
mar****,5,성수동에생겨서 너무좋아요 약간 불친절한 느낌이잇긴하지만 맛잇어요,"성수동,에,생겨서,너무,좋,아요,약간,불친절,한,느낌,이,잇,긴,하,지만,맛있,어요",1,2.272727273,3.636363636
yhym02,3,생각보다 그저 그렇습니다,"생각,보다,그저,그렇,습니다",-1,1.818181818,2.409090909
떠블링,5,바질 존맛 ,"바질,존맛",1,2.272727273,3.636363636
제레,5,너무 조아요 마싯슴다,"너무,좋,아요,맛있,음,이,다",2,2.5,3.75
삑또,5,짱맛 사장님 친절,"짱맛,사장,님,친절",2,2.5,3.75
7ebor,5,바질 넘 맛있어여 사진 찍으려고 잠깐 꺼내봤는데 바질은 식고 나서 먹는 게 좋을 거 같아요 안그럼 손에 자꾸 묻어요 저는 평일 3시쯤 가니까 웨이팅 없이 바로 샀어요,"바질,너무,맛있,어요,사진,찍,으려고,잠깐,꺼내,봤,는데,바질,은,식,고,나,서,먹,는,게,좋,을,거,같,아요,안,그럼,손,에,자꾸,묻,어요,저,는,평일,3,시,쯤,가,니까,웨이팅없이,바로,샀어요",3,2.727272727,3.863636364
수수수하,4.5,동네에 생겼어요,"동네,에,생겼어요",0,2.045454545,3.272727273
yoonijung,4.5,짱마싯어요,"짱맛있,어요",1,2.272727273,3.386363636
ansdnjstlr1,5,존맛이에요,"존맛,이,에요",1,2.272727273,3.636363636
복아트,5,새로운 매장도 맛있군 굿,"새로운,매장,도,맛있,군,굿",3,2.727272727,3.863636364
로즈마리,5,웨이팅이 없이 구매했어요 역시 맛있어요,"웨이팅이없이,구매,했,어요,역시,맛있,어요",3,2.727272727,3.863636364
Alley,5,역시 크로플의 강자 새들러에요본점 자주 가다가 성수점에 새로 생긴다고 해서 오늘 방문했어요 아직 가오픈이고 1층만 오픈 테이크아웃만 가능하지만 그래도 인테리어나 오픈 주방 전체 건물이 너무너무 예뻐서 좋았어요어서 3월 지나서 매장 이용도 하고 맛있는 크로플 다 즐기고 싶어요 제가 간 시간15시쯤은 사람이 별로 없어서 바로 구매할 수 있어 좋았어요 진짜 플레인 바질 치즈 다 맛있고 저희 엄마는 플레인이 담백하다고 제일 좋아하세요 저의 픽은 바질 치즈는 브런치로 먹기 딱 좋은 느낌 바닐라라떼는 막 엄청 안 달고 바닐라 향도 진짜 같아서 맛있더라구요 특유의 시럽 사용했을때 나오는 뒷맛도 없구요 저의 최애 크로플 집 새들러 더 흥하세요,"역시,크로플,의,강자,새들러,에요,본,점,자주,가,다가,성,수점,에,새로,생긴다고,해서,오늘,방문,했,어요,아직,가,오픈,이,고,1,층,만,오픈,테이크아웃,만,가능,하,지만,그래도,인테리어,나,오픈,주방,전체,건물,이,너무너무,예뻐서,좋,았,어요,어서,3,월,지나,서,매장,이용,도,하,고,맛있,는,크로플,다,즐기,고,싶,어요,제,가,간,시간,15,시,쯤,은,사람,이,별로,없,어서,바로,구매,할,수,있,어,좋,았,어요,진짜,플레인,바질,치즈,다,맛있,고,저희,엄마,는,플레인,이,담백,하,다고,제일,좋,아,하,세요,저,의,픽,은,바질,치즈,는,브런치,로,먹,기,딱,좋,은,느낌,바닐라,라떼,는,막,엄청,안달고,바닐라,향,도,진짜,같,아서,맛있,더라고요,특유,의,시럽,사용,했,을,때,나오,는,뒷맛,도,없,고요,저,의,최애,크로플,집,새들러,더,흥하,세요",13,5,5
dud****,4,크러플 완전 맛있어요 다만 직원분들 손님 응대에 신경만 조금 더 써주세요,"트,러플,정말,맛있,어요,다만,직원,분,들,손님,응대,에,신경,만,조금,더,써,주,세요",1,2.272727273,3.136363636
민민민민,2.5,와플세트 2개랑 콘마요크림치즈 샀는데 집에 와서 확인해보니 크림치즈가 안들어있네요 꼼꼼하게 확인요청드려요,"와플,세트,2,개,랑,콘마요,크림치즈,샀,는데,집,에,와서,확인,해,보,니,크림치즈,가,안,들,어,있,네요,꼼꼼,하,게,확인,요청,드려요",0,2.045454545,2.272727273
연희,5,가오픈 첫날 가서 테이크아웃 해왔어요 진짜 너무  너무  맛있어요 새들러보다 맛있는 크로플은 평생 못 먹을거같아여 다른 카페들에서 새들러 크로플 반쪽크기에 만원씩 받는 거에 비해 가격도 너무 착하고 그냥 100호점까지 내주세요 번창하세요,"가,오,픈,첫날,가,서,테이크아웃,해,왔,어요,진짜,너무너무,맛있,어요,새들러,보다,맛있,는,크로폴,은,평생,못,먹,을,거,같,아요,다른,카페,들,에서,새들러,크로플,반쪽,크기,에,만,원,씩,받,는,거,에,비해,가격,도,너무,착하,고,그냥,100,호,점,까지,내주,세요,번창,하,세요",2,2.5,3.75
하늘보리,4.5,크로플에서 살짝 탄 캬라멜 맛이 나면서 맛있어요,"크로플,에서,살짝,탄,캐러멜,맛,이,나,면서,맛있,어요",1,2.272727273,3.386363636
euna,4,성수에 생겨서 좋아요,"성수,에,생겨서,좋,아요",1,2.272727273,3.136363636
쁨이,5,좋아용,"좋,아요",1,2.272727273,3.636363636
4. HeyBowl,,,,,,
LSZIN,5,맛있고 친절하세요,"맛있,고,친절,하,세요",2,2.5,3.75
라임,4.5,맛있어요 성수동 놀러와서 급하게 검색해서 갔는데 비건 맛집 찾아서 너무 좋아요,"맛있,어요,성수동,놀러,와서,급하,게,검색,해서,갔,는데,비건,맛집,찾,아서,너무,좋,아요",3,2.727272727,3.613636364
예지,5,신선한 과일의 스무디 너무 맛있어요 대기가 조금 있지만 친절하게 안내해주셔서 좋았습니다 재방문 또 할께욤,"신선,한,과일,의,스무디,너무,맛있,어요,웨이팅,가,조금,있,지만,친절,하,게,안내,해,주,셔서,좋,았,습니다,재,방문,또,할게요",3,2.727272727,3.863636364
박테리아,5,맛있어요,"맛있,어요",1,2.272727273,3.636363636
체리봉봉,5,건강한맛이에요,"건강한맛,이,에요",1,2.272727273,3.636363636
백,5,오랜만에 먹었는데 너무 맛있어요,"오랜만,에,먹,었,는데,너무,맛있,어요",1,2.272727273,3.636363636
퐁퐁퐁,5,신선하고 맛나요,"신선,하,고,맛나,요",2,2.5,3.75
팔분음표,5,좋아요  여름에 건강하고 시원하게 먹기 딱입니다,"좋,아요,여름,에,건강,하,고,시원,하,게,먹,기,딱,입니다",0,2.045454545,3.522727273
kin****,5,신거 좋아하는데 퍼플보다 키위아삭이 더 시고 맛있었어요 노슈가 초콜릿라떼도 정말 진하고 맛있습니당,"신거,좋,아,하,는데,퍼플,보다,키위,아삭,이,더,시,고,맛있,었,어요,노세요,가,초콜릿,라떼,도,정말,진하,고,맛있,습니다",5,3.181818182,4.090909091
Angelyka,4,매장 내부 깔끔하고 스무디볼 맛나요,"매장,내부,깔끔,하,고,스무디,볼,맛나,요",2,2.5,3.25
예슐리,5,포장해서 먹었어요  퍼플 보울 너무 맛있고 배부르네요,"포장,해서,먹,었,어요,퍼플,볼,너무,맛있,고,배부르,네요",2,2.5,3.75
easysun31,4.5,먹으면 춥고 배거파요 ,"먹,으면,춥,고,배고파요",0,2.045454545,3.272727273
kuj,5,라즈베리치즈케이크 JMT 초코넛티 라이트 베이스 기존 것보다 가벼워져서 더 맛있어진 거 같아요 포장도 꼼꼼히 잘해주셨어요,"라즈베리,치즈,케이크,JMT,초코,넛티,라이트,베이스,기존,것,보다,가벼워져서,더,맛있,어,진,거,같,아요,포장,도,꼼꼼히,잘,해,주,셨,어요",1,2.272727273,3.636363636
CHEN,5,친환경 상큼한 여름의 맛  ,"친환경,상큼,한,여름,의,맛",2,2.5,3.75
cha****,4,가격은 비싸지만 맛은 좋습니다 추천요,"가격,은,비싸,지만,맛,은,좋,습니다,추천요",1,2.272727273,3.136363636
또용잉,5,맛있어요,"맛있,어요",1,2.272727273,3.636363636
Spend,5,성수동 최애 맛집입니다,"성수동,최애,맛집,입니다",2,2.5,3.75
봉봉,5,다이어트중인데 완전 최고에요,"다이어트,중,인데,정말,최고,예요",1,2.272727273,3.636363636
검정치마,5,매장도 깨끗하고 넓고 보울 넘 마시쏘요,"매장,도,깨끗,하,고,넓고,볼,너무,마시,쏘,요",2,2.5,3.75
hye****,4.5,맛있어용,"맛있,어요",1,2.272727273,3.386363636
천재민쵸,3.5,괜찮아요,"괜찮,아요",-1,1.818181818,2.659090909
lau****,2.5,먹을수록 쓴 맛 나네요,"먹,을수록,쓴맛,나,네요",0,2.045454545,2.272727273
eeqoii,3.5,굿굿,"굿,굿",2,2.5,3
wkd****,5,스무디가 저는 맛있어요,"스무디,가,저,는,맛있,어요",1,2.272727273,3.636363636
Last Vintage,5,딸기가 있었는데 산딸기로 변경 됐네요 그래도 맛나요,"딸기,가,있,었,는데,산딸기,로,변경,됐,네요,그래도,맛나,요",1,2.272727273,3.636363636
나는,5,키위아삭 정말 아이스크림 키위아삭같아요 상콤콤 역시 과일엔 오리지널 그래놀가 더 잘 어울려용,"키위,아삭,정말,아이스크림,키위,아삭,같,아요,상,콤,콤,역시,과일,엔,오리지널,그래놀라,더,잘,어울려요",4,2.954545455,3.977272727
치퀸,5,맛있게 냠냠 먹었엉,"맛있,게,냠냠,먹,었,어",2,2.5,3.75
치퀸,5,맛있어용 ,"맛있,어요",1,2.272727273,3.636363636
하하,5,맛있어요,"맛있,어요",1,2.272727273,3.636363636
모미리,4,맛있어요 두그릇 뚝딱,"맛있,어요,두,그릇,뚝딱",2,2.5,3.25
제이제이,5,분위기도 좋고 맛있는 디져트가게,"분위기,도,좋,고,맛있,는,디저트,가,게",2,2.5,3.75
쁘띠띠아블,5,헤이보울은 매일가도 매일 맛있어요,"헤이,바울,은,매일,가,도,매일,맛있,어요",1,2.272727273,3.636363636
kimjouhyun,5,맛있어서 자주 가는 곳 입니다 한 번은 재고소진으로 못가서 아쉬웠어요,"맛있,어서,자주,가,는,곳,입니다,한,번,은,재고,소진,으로,못,가,서,아쉬웠,어요",0,2.045454545,3.522727273
kimjouhyun,5,커피도 맛있네요,"커피,도,맛있,네요",1,2.272727273,3.636363636
kimjouhyun,4.5,맛있어서 자주 가는 곳 입니다 중간에 재고 소진이 안되면 너무 좋을 것 같아요,"맛있,어서,자주,가,는,곳,입니다,중간,에,재고,소진,이,안,되,면,너무,좋,을,것,같,아요",2,2.5,3.5
네모안별,5,좋아요,"좋,아요",1,2.272727273,3.636363636
이지수,4.5,퍼플보단 옐로우가 상큼하니 맛있어요,"퍼플,보단,옐로,가,상큼,하,니,맛있,어요",2,2.5,3.5
갸갸,3.5,비싸요 너무,"비싸,요,너무",-1,1.818181818,2.659090909
고쁜이,3,상큼해요,"상큼,해요",1,2.272727273,2.636363636
알알아,5,딸기 맛잇어요,"딸기,맛있,어요",1,2.272727273,3.636363636
jae****,4,좋아요,"좋,아요",1,2.272727273,3.136363636
LSZIN,4,맛이 있습니다 건강하게 한 끼 챙길 때 추 처 언,"맛,이,있,습니다,건강,하,게,한,끼,챙길,때,추,처,언",0,2.045454545,3.022727273
Anna,5,굿,굿,1,2.272727273,3.636363636
듀용잉,5,옐로우 너무 마시써요 이걸로 주문하니까 안기다려도돼서 너무 좋아요,"옐로,너무,맛있,어요,이걸로,주문,하,니까,안,기다려도,돼서,너무,좋,아요",2,2.5,3.75
파랭,2,위에 과일이 맛있는데 적어서 아쉽고 밑에 스무디가 시고 별로 맛이 없음 퍼플 옐로우 아임파인 세 개 맛 봤는데 개인적으로 맛은 별로 비주얼은 예뻐서 친구들이랑 오기 좋음 추억,"위,에,과일,이,맛있,는,데,적,어서,아쉽,고,밑,에,스무디,가,시고,별로,맛이없,음,퍼,플,옐로,아임파인,세,개,맛봤,는데,개인,적,으로,맛,은,별로,비주얼,은,예뻐서,친구,들,이랑,오,기,좋,음,추억",-1,1.818181818,1.909090909
안녕하시개,5,맛있어요,"맛있,어요",1,2.272727273,3.636363636
evecalm,5,o,o,0,2.045454545,3.522727273
lit****,4,좋아요,"좋,아요",1,2.272727273,3.136363636
꼬꼬마,4,맛잇어요,"맛있,어요",1,2.272727273,3.136363636
QHwan,4.5,비쥬얼도 맛도 다 좋은데 너무 바쁘셔서 그런지 홀 정리가 다소 더딘점이 조금 아쉽습니다 사람들이 많이 찾는 시간은 피해서 오시는 게 좋을 것 같아요,"비주얼,도,맛,도,다,좋,은데,너무,바쁘,셔서,그런지,홀,정리,가,다소,더딘,점,이,조금,아쉽,습니다,사람,들,이,많이,찾,는,시간,은,피,해서,오,시,는,게,좋,을,것,같,아요",1,2.272727273,3.386363636
다크초콜렛,3,퍼플 스무디볼은 그럭저럭이구요 집에서도 충분히 해먹을 수 있는 맛인듯 하네여 아메리카노는 충격적으로 별로에요  원두가 별로인듯합니다 분위기는 좋아요,"퍼플,스무디,볼,은,그럭저럭,이,고요,집,에서,도,충분히,해,먹,을,수,있,는,맛,인,듯,하,네요,아메리카노,는,충격,적,으로,별로,예요,원두,가,별로,인,듯,합니다,분위기,는,좋,아요",-3,1.363636364,2.181818182
스마일,5,맛있어요 이쁘고,"맛있,어요,이쁘,고",2,2.5,3.75
you****,5,퍼플이 맛나요 ,"퍼플,이,맛나,요",1,2.272727273,3.636363636
옛헴,5,맛있어요 건강해지는 기분,"맛있,어요,건강,해,지,는,기분",0,2.045454545,3.522727273
해리,5,오래기다렸지만 그래도 그만큼 맛있어요 인기가 엄청난거같아요 딸기를 이날씨에도 먹을수있음에 감사합니다  진짜 대 존 맛  직원분들도 친절하시고 네이버로 미리 포장주문해놓고 알람울리면 가서 픽업하는 편리함 최고,"오래,기다렸,지만,그래도,그만큼,맛있,어요,인기,가,엄청난,거,같,아요,딸기,를,이,날씨,에,도,먹,을,수,있,음,에,감사,합니다,진짜,대존맛,직원,분,들,도,친절,하,시,고,네이버,로,미리,포장,주문,해,놓,고,알,람,울리,면,가,서,픽업,하,는,편리,함,최고",6,3.409090909,4.204545455
김말이튀김,4.5,맛있는데 퍼플하고 초코 시켰는데 초코가 확연히 양이 적더라구요 원래 그런건지 그리구 나오는데 좀 오래걸리더라구요 맛은 있습니다,"맛있,는데,퍼플,하고,초코,시켰,는데,초코,가,확연히,양,이,적,더라고요,원래,그런,건지,그리고,나오,는,데,좀,오래걸리,더라고요,맛,은,있,습니다",2,2.5,3.5
징징징쟁쟁쟁,5,상큼한과일을 좋아하는 저한텐 딱 좋았어요 오늘 아몬드버터도 이벤트 하고 계셔서 처음 먹어봤는데 너무 고소하고 맛있었어요,"상큼,한,과일,을,좋아하,는,저,한텐,딱,좋,았,어요,오늘,아몬드,버터,도,이벤트,하,고,계셔서,처음,먹,어,봤,는데,너무,고소,하,고,맛있,었,어요",6,3.409090909,4.204545455
